tournament,team,league,rank
#2 Spring 2023,maryville-university,north_american_challenger_league,1
#2 Spring 2023,supernova,north_american_challenger_league,0.8386750311757463
#2 Spring 2023,native-gaming,NA,0.7762507047210837
#2 Spring 2023,team-fish-taco,north_american_challenger_league,0.6863688589461165
#2 Spring 2023,douyin-tony-top,NA,0.6831547891974321
#2 Spring 2023,zenigma,NA,0.5785448518387037
#2 Spring 2023,team-ambition,NA,0.46982724203975507
#2 Spring 2023,winthrop-university,NA,0.4331291667508585
#2 Spring 2023,lit-esports,NA,0.35807452359562675
#2 Spring 2023,conviction,NA,0
#2 Summer 2023,ccg-esports,NA,1
#2 Summer 2023,team-ambition,NA,0.9794388047677116
#2 Summer 2023,teamless-revenge,NA,0.9237302853939141
#2 Summer 2023,winthrop-university,NA,0.9076090158180218
#2 Summer 2023,cb-gaming,NA,0.8474120825034673
#2 Summer 2023,komodo,NA,0.8200133270432144
#2 Summer 2023,mirage-alliance,NA,0.7361518896444434
#2 Summer 2023,kelyxs-grandpa-gamers,NA,0.7009508497782758
#2 Summer 2023,lit-esports,NA,0.6483820501220512
#2 Summer 2023,apex-mission-impossible,NA,0.27894361985910104
#2 Summer 2023,aporia,NA,0
CBLOL Split 2 2020,kabum-esports,cblol-brazil,1
CBLOL Split 2 2020,santos-hotforex,NA,0.8903899245748875
CBLOL Split 2 2020,liberty,cblol-brazil,0.6561948167820046
CBLOL Split 2 2020,furia,cblol-brazil,0.48122145479743866
CBLOL Split 2 2020,intz,cblol-brazil,0.44397034036842703
CBLOL Split 2 2020,flamengo-esports,NA,0.3927064178142605
CBLOL Split 2 2020,vivo-keyd,cblol-brazil,0.12900097473266642
CBLOL Split 2 2020,pain-gaming,cblol-brazil,0
European Masters - Summer 2021 Play Ins,team-phantasma,greek_legends,1
European Masters - Summer 2021 Play Ins,hma-fnatic-rising,NA,0.9166150361787769
European Masters - Summer 2021 Play Ins,white-dragons,liga_portuguesa,0.7086092504437852
European Masters - Summer 2021 Play Ins,topo-centras-iron-wolves,ultraliga,0.6852387583011917
European Masters - Summer 2021 Play Ins,karma-clan-esports,NA,0.6724198451112945
European Masters - Summer 2021 Play Ins,movistar-riders,superliga,0.610852665448915
European Masters - Summer 2021 Play Ins,mousesports,primeleague,0.5372136692731162
European Masters - Summer 2021 Play Ins,esuba,hitpoint_masters,0.5061278414048502
European Masters - Summer 2021 Play Ins,mcon-lg-ultragear,elite_series,0.49547468480142265
