Rank,Team Name,Acronym,Slug,Rank Score,Region,Team ID,search
1,Bilibili Gaming Pingan Bank,BLG,bilibili-gaming,1.138568101137557,LPL,99566404853854212,Bilibili Gaming Pingan Bank (99566404853854212)
2,Beijing JDG Intel Esports Club,JDG,jd-gaming,1.1109725176959753,LPL,99566404852189289,Beijing JDG Intel Esports Club (99566404852189289)
3,kt Rolster,KT,kt-rolster,1.108766544312856,LCK,99566404579461230,kt Rolster (99566404579461230)
4,Team Liquid Honda,TL,team-liquid,1.0551543492257085,LCS,98926509885559666,Team Liquid Honda (98926509885559666)
5,Gen.G,GEN,geng,1.0214698554725112,LCK,100205573495116443,Gen.G (100205573495116443)
6,Evil Geniuses LG,EG,evil-geniuses,1.0064865340929248,LCS,103461966951059521,Evil Geniuses LG (103461966951059521)
7,Suzhou LNG Esports,LNG,lng-esports,0.999109173442523,LPL,99566404850008779,Suzhou LNG Esports (99566404850008779)
8,Dplus Kia,DK,dwg-kia,0.9887425157002884,LCK,100725845018863243,Dplus Kia (100725845018863243)
9,NRG,NRG,nrg-esports,0.9572136117562886,LCS,106972778172351142,NRG (106972778172351142)
10,GAM Esports,GAM,gam-esports,0.9484708753588762,VCS,98767991954244555,GAM Esports (98767991954244555)
11,Golden Guardians,GG,golden-guardians,0.9459288532918398,LCS,99294153824386385,Golden Guardians (99294153824386385)
12,PSG Talon,PSG,psg-talon,0.944622058640308,PCS,104367068120825486,PSG Talon (104367068120825486)
13,TOP ESPORTS,TES,top-esports,0.9322695531787312,LPL,99566404854685458,TOP ESPORTS (99566404854685458)
14,Movistar R7,R7,rainbow7,0.931791097127928,LLA,98767991935149427,Movistar R7 (98767991935149427)
15,Royal Never Give Up,RNG,royal-never-give-up,0.9246948787780308,LPL,98767991892579754,Royal Never Give Up (98767991892579754)
16,Six Karma,6K,six-karma,0.9154669703819102,LLA,107581284487120142,Six Karma (107581284487120142)
17,G2 Esports,G2,g2-esports,0.9036155373448213,LEC,98767991926151025,G2 Esports (98767991926151025)
18,Cloud9,C9,cloud9,0.8952804169956016,LCS,98767991877340524,Cloud9 (98767991877340524)
19,Hanwha Life Esports,HLE,hanwha-life-esports,0.885050677039414,LCK,100205573496804586,Hanwha Life Esports (100205573496804586)
20,T1,T1,t1,0.8816627769037777,LCK,98767991853197861,T1 (98767991853197861)
21,WeiboGaming FAW AUDI,WBG,weibo-gaming,0.880014665252555,LPL,99566404853058754,WeiboGaming FAW AUDI (99566404853058754)
22,TEAM WHALES,TW,team-whales,0.874598791098503,VCS,108573042084687884,TEAM WHALES (108573042084687884)
23,Beyond Gaming,BYG,mega-bank-beyond-gaming,0.8466794825894994,PCS,106269804045322803,Beyond Gaming (106269804045322803)
24,SHANGHAI EDWARD GAMING HYCAN,EDG,edward-gaming,0.8395772232045515,LPL,98767991882270868,SHANGHAI EDWARD GAMING HYCAN (98767991882270868)
25,RED Kalunga,RED,red-kalunga,0.8280457716097203,CBLOL-BRAZIL,99566408221961358,RED Kalunga (99566408221961358)
26,paiN Gaming,PNG,pain-gaming,0.8240093954529454,CBLOL-BRAZIL,99566408217955692,paiN Gaming (99566408217955692)
27,Estral Esports,EST,estral-esports,0.8225768351451189,LLA,104841890701948065,Estral Esports (104841890701948065)
28,LOUD,LLL,loud,0.8163950999900033,CBLOL-BRAZIL,105397404796640412,LOUD (105397404796640412)
29,INFINITY,INF,infinity,0.8058371201222296,LLA,99566408562477641,INFINITY (99566408562477641)
30,INTZ,ITZ,intz,0.8025643663266971,CBLOL-BRAZIL,99566408217116828,INTZ (99566408217116828)
31,FLUXO,FX,fluxo,0.8019191049222253,CBLOL-BRAZIL,109480056092207899,FLUXO (109480056092207899)
32,Invictus Gaming,IG,invictus-gaming,0.7895422063158808,LPL,99566404848691211,Invictus Gaming (99566404848691211)
33,Fnatic,FNC,fnatic,0.784723233471337,LEC,98767991866488695,Fnatic (98767991866488695)
34,Liiv SANDBOX,LSB,liiv-sandbox,0.7833858200139636,LCK,100725845022060229,Liiv SANDBOX (100725845022060229)
35,Saigon Buffalo Esports,SGB,saigon-buffalo-esports,0.7752738448942361,VCS,107251245690956393,Saigon Buffalo Esports (107251245690956393)
36,Nativz,NTZ,nativz,0.7653193700417854,NLC,107565493716773932,Nativz (107565493716773932)
37,Vivo Keyd Stars,VKS,vivo-keyd,0.7632551238768579,CBLOL-BRAZIL,99566408219409348,Vivo Keyd Stars (99566408219409348)
38,TSM,TSM,tsm,0.7566813074112642,LCS,98767991860392497,TSM (98767991860392497)
39,TSM,TSM,tsm,0.7566813074112642,LCS,98767991860392497,TSM (98767991860392497)
40,Dignitas,DIG,dignitas,0.740092012392546,LCS,98926509883054987,Dignitas (98926509883054987)
41,CERBERUS ESPORTS,CES,cerberus-esports,0.7393662965037465,VCS,107251374793416561,CERBERUS ESPORTS (107251374793416561)
42,DRX,DRX,drx,0.7391825911841096,LCK,99566404585387054,DRX (99566404585387054)
43,Diamant Esports,DIA,diamant-esports,0.7384554701441676,ESPORTS_BALKAN_LEAGUE,107597875833524424,Diamant Esports (107597875833524424)
44,J Team,JT,taipei-j-team,0.7362794861355496,PCS,99566406490127625,J Team (99566406490127625)
45,Zero Tenacity,Z10,zero-tenacity,0.7301773526482055,ULTRALIGA,105553606349477427,Zero Tenacity (105553606349477427)
46,Team Secret,TS,team-secret,0.7279396186368875,VCS,107251295460371069,Team Secret (107251295460371069)
47,Partizan Esports,PAR,partizan-esports,0.7227314906996799,ESPORTS_BALKAN_LEAGUE,108404211655217274,Partizan Esports (108404211655217274)
48,Team Heretics,TH,team-heretics-lec,0.7124831245146201,LEC,109637393694097670,Team Heretics (109637393694097670)
49,BK ROG Esports,BKR,bkrog-gamerorigin,0.7115067030704932,LFL,107450819235010833,BK ROG Esports (107450819235010833)
50,T1 Rookies,T1,t1-rookies,0.7112796284127575,LCK_ACADEMY,108203154514683518,T1 Rookies (108203154514683518)
51,SK Gaming Prime,SKP,sk-gaming-prime,0.7086099501259083,PRIMELEAGUE,105559480124455983,SK Gaming Prime (105559480124455983)
52,100 Thieves,100,100-thieves,0.7017790352979246,LCS,99294153828264740,100 Thieves (99294153828264740)
53,Team Flash,TF,team-flash,0.6996489320719825,VCS,107258254469504696,Team Flash (107258254469504696)
54,Eintracht Spandau,EINS,eintracht-spandau,0.6981232349026815,PRIMELEAGUE,107416483509696259,Eintracht Spandau (107416483509696259)
55,Verdant,VER,verdant,0.6883641028006453,NLC,107565477822627354,Verdant (107565477822627354)
56,Ruddy Esports,RUD,ruddy-esports,0.6794297116851001,NLC,109642690191894407,Ruddy Esports (109642690191894407)
57,Karmine Corp,KC,karmine-corp,0.677359690831551,LFL,105515219038427019,Karmine Corp (105515219038427019)
58,Leviatán Esports,LEV,leviatan-esports,0.6757276623799868,LLA,107598699275015260,Leviatán Esports (107598699275015260)
59,LGD GAMING,LGD,lgd-gaming,0.6726777783907116,LPL,99566404846951820,LGD GAMING (99566404846951820)
