tournament,team,league,rank,tourn_id
#2 Spring 2023,maryville-university,north_american_challenger_league,1,109974742840567627
#2 Spring 2023,supernova,north_american_challenger_league,0.8386750311757463,109974742840567627
#2 Spring 2023,native-gaming,NA,0.7762507047210837,109974742840567627
#2 Spring 2023,team-fish-taco,north_american_challenger_league,0.6863688589461165,109974742840567627
#2 Spring 2023,douyin-tony-top,NA,0.6831547891974321,109974742840567627
#2 Spring 2023,zenigma,NA,0.5785448518387037,109974742840567627
#2 Spring 2023,team-ambition,NA,0.46982724203975507,109974742840567627
#2 Spring 2023,winthrop-university,NA,0.4331291667508585,109974742840567627
#2 Spring 2023,lit-esports,NA,0.35807452359562675,109974742840567627
#2 Spring 2023,conviction,NA,0,109974742840567627
#2 Summer 2023,ccg-esports,NA,1,110733838935136200
#2 Summer 2023,team-ambition,NA,0.9794388047677116,110733838935136200
#2 Summer 2023,teamless-revenge,NA,0.9237302853939141,110733838935136200
#2 Summer 2023,winthrop-university,NA,0.9076090158180218,110733838935136200
#2 Summer 2023,cb-gaming,NA,0.8474120825034673,110733838935136200
#2 Summer 2023,komodo,NA,0.8200133270432144,110733838935136200
#2 Summer 2023,mirage-alliance,NA,0.7361518896444434,110733838935136200
#2 Summer 2023,kelyxs-grandpa-gamers,NA,0.7009508497782758,110733838935136200
#2 Summer 2023,lit-esports,NA,0.6483820501220512,110733838935136200
#2 Summer 2023,apex-mission-impossible,NA,0.27894361985910104,110733838935136200
#2 Summer 2023,aporia,NA,0,110733838935136200
CBLOL Split 2 2020,kabum-esports,cblol-brazil,1,104202471497759152
CBLOL Split 2 2020,santos-hotforex,NA,0.8903899245748875,104202471497759152
CBLOL Split 2 2020,liberty,cblol-brazil,0.6561948167820046,104202471497759152
CBLOL Split 2 2020,furia,cblol-brazil,0.48122145479743866,104202471497759152
CBLOL Split 2 2020,intz,cblol-brazil,0.44397034036842703,104202471497759152
CBLOL Split 2 2020,flamengo-esports,NA,0.3927064178142605,104202471497759152
CBLOL Split 2 2020,vivo-keyd,cblol-brazil,0.12900097473266642,104202471497759152
CBLOL Split 2 2020,pain-gaming,cblol-brazil,0,104202471497759152
European Masters - Summer 2021 Play Ins,team-phantasma,greek_legends,1,106744065768553123
European Masters - Summer 2021 Play Ins,hma-fnatic-rising,NA,0.9166150361787769,106744065768553123
European Masters - Summer 2021 Play Ins,white-dragons,liga_portuguesa,0.7086092504437852,106744065768553123
European Masters - Summer 2021 Play Ins,topo-centras-iron-wolves,ultraliga,0.6852387583011917,106744065768553123
European Masters - Summer 2021 Play Ins,karma-clan-esports,NA,0.6724198451112945,106744065768553123
European Masters - Summer 2021 Play Ins,movistar-riders,superliga,0.610852665448915,106744065768553123
European Masters - Summer 2021 Play Ins,mousesports,primeleague,0.5372136692731162,106744065768553123
European Masters - Summer 2021 Play Ins,esuba,hitpoint_masters,0.5061278414048502,106744065768553123
European Masters - Summer 2021 Play Ins,mcon-lg-ultragear,elite_series,0.49547468480142265,106744065768553123
European Masters - Summer 2021 Play Ins,ago-rogue,NA,0.44056017288329297,106744065768553123
European Masters - Summer 2021 Play Ins,sector-one,NA,0.40592088473612203,106744065768553123
European Masters - Summer 2021 Play Ins,crvena-zvezda-esports,esports_balkan_league,0.2950857313398303,106744065768553123
European Masters - Summer 2021 Play Ins,goexanimo,NA,0.25046552669618066,106744065768553123
European Masters - Summer 2021 Play Ins,anc-outplayed,pg_nationals,0.1957686878333334,106744065768553123
European Masters - Summer 2021 Play Ins,sinners-esports,hitpoint_masters,0.1919200768038089,106744065768553123
European Masters - Summer 2021 Play Ins,vitalitybee,lfl,0,106744065768553123
Honor League Closing 2022,rebirth-esports,NA,1,108290534327713461
Honor League Closing 2022,newstar,NA,0.9828218624843065,108290534327713461
Honor League Closing 2022,furious-gaming,south_regional_league,0.7474436263833367,108290534327713461
Honor League Closing 2022,dark-horse,NA,0.5453052646538957,108290534327713461
Honor League Closing 2022,meta-gaming,south_regional_league,0.5347699480502904,108290534327713461
Honor League Closing 2022,santiago-wanderers,NA,0.45864853331132927,108290534327713461
Honor League Closing 2022,movistar-optix,NA,0.42698426548067203,108290534327713461
Honor League Closing 2022,maze-gaming,NA,0.04587848661296937,108290534327713461
Honor League Closing 2022,wolf-club-gaming,NA,0,108290534327713461
LCK Challengers Summer 2022,dwg-kia-challengers,lck_challengers_league,1,108211175216687366
LCK Challengers Summer 2022,t1-challengers,lck_challengers_league,0.46045612867635544,108211175216687366
LCK Challengers Summer 2022,drx-challengers,lck_challengers_league,0.3552697780628945,108211175216687366
LCK Challengers Summer 2022,kt-challengers,lck_challengers_league,0.02691724448881149,108211175216687366
LCK Challengers Summer 2022,kwangdong-freecs-challengers,lck_challengers_league,0.020303283696814983,108211175216687366
LCK Challengers Summer 2022,ns-challengers,lck_challengers_league,0,108211175216687366
LCK Regional Finals 2021,t1,lck,1,106840590962292347
LCK Regional Finals 2021,nongshim-redforce,lck,0.6654734667923616,106840590962292347
LCK Regional Finals 2021,hanwha-life-esports,lck,0.4320694710103647,106840590962292347
LCK Regional Finals 2021,liiv-sandbox,lck,0,106840590962292347
LCK Regional Finals 2022,kt-rolster,lck,1,108797577868041021
LCK Regional Finals 2022,dwg-kia,lck,0.9414462425308274,108797577868041021
LCK Regional Finals 2022,liiv-sandbox,lck,0.5820027468307367,108797577868041021
LCK Regional Finals 2022,drx,lck,0,108797577868041021
LCK Summer 2020,geng,lck,1,104174613295388764
LCK Summer 2020,drx,lck,0.7926596419681635,104174613295388764
LCK Summer 2020,t1,lck,0.7708849408615119,104174613295388764
LCK Summer 2020,dwg-kia,lck,0.6437256820339619,104174613295388764
LCK Summer 2020,liiv-sandbox,lck,0.4200560416533845,104174613295388764
LCK Summer 2020,nongshim-redforce,lck,0,104174613295388764
LCK Summer 2022,t1,lck,1,108195478954601542
LCK Summer 2022,dwg-kia,lck,0.830971979575394,108195478954601542
LCK Summer 2022,kwangdong-freecs,lck,0.6239252983398519,108195478954601542
LCK Summer 2022,nongshim-redforce,lck,0.591345350842369,108195478954601542
LCK Summer 2022,geng,lck,0.47121284867385554,108195478954601542
LCK Summer 2022,kt-rolster,lck,0.3814170503778149,108195478954601542
LCK Summer 2022,fredit-brion,lck,0.3545720925812876,108195478954601542
LCK Summer 2022,drx,lck,0.07847010764538574,108195478954601542
LCK Summer 2022,hanwha-life-esports,lck,0.051694921844419935,108195478954601542
LCK Summer 2022,liiv-sandbox,lck,0,108195478954601542
LCS Academy Summer 2021,tl-academy,north_american_challenger_league,1,106273298442359221
LCS Academy Summer 2021,eg-academy,north_american_challenger_league,0.4262831639215944,106273298442359221
LCS Academy Summer 2021,100-academy,NA,0.42408643938863777,106273298442359221
LCS Academy Summer 2021,c9-academy,NA,0.4071797244135737,106273298442359221
LCS Academy Summer 2021,fly-academy,north_american_challenger_league,0.3939786083531262,106273298442359221
LCS Academy Summer 2021,gg-academy,NA,0.38986244757644273,106273298442359221
LCS Academy Summer 2021,tsm-academy,NA,0.2779469403977315,106273298442359221
LCS Academy Summer 2021,imt-academy,NA,0.007679683151585696,106273298442359221
LCS Academy Summer 2021,dig-academy,NA,0,106273298442359221
LCS Amateur Circuit Summer 2022,100-next,NA,1,108514431834916228
LCS Amateur Circuit Summer 2022,jakes-kittens,NA,0.897423721375319,108514431834916228
LCS Amateur Circuit Summer 2022,supernova,north_american_challenger_league,0.8438815006938842,108514431834916228
LCS Amateur Circuit Summer 2022,aoe-esports,north_american_challenger_league,0.7622039833453549,108514431834916228
LCS Amateur Circuit Summer 2022,maryville-university,north_american_challenger_league,0.7403499028280581,108514431834916228
LCS Amateur Circuit Summer 2022,eg-prodigies,NA,0.7373864929007151,108514431834916228
LCS Amateur Circuit Summer 2022,taco-gaming,NA,0.7042527633891131,108514431834916228
